codigo_contrato,codigo_parceiro,nome_parceiro,valor_aluguel_contrato,taxa_contrato,porcentagem_taxa_administracao,name_status,data_inicio_contrato,meses_duracao_contrato,data_desocupacao,tipo_parceiro,tipo_sistema,nome_produto,migracao,pontualizado
M-LEH2412013,,LEHOME NEGOCIOS IMOBILIARIOS LTDA,"11.908,41","0,00","10,00",Pausado,01/12/2023,30,,,sistema,Smart,Sim,Ṇo
M-LEH2412012,,LEHOME NEGOCIOS IMOBILIARIOS LTDA,"3.500,00","0,00","10,00",Pausado,01/11/2024,30,,,sistema,Smart,Sim,Ṇo
M-LEH2412005,,LEHOME NEGOCIOS IMOBILIARIOS LTDA,"3.000,00","0,00","10,00",Pausado,23/08/2024,30,,,sistema,Smart,Sim,Ṇo
M-LEH2412004,,LEHOME NEGOCIOS IMOBILIARIOS LTDA,"2.699,12","0,00","10,00",Pausado,02/08/2022,30,,,sistema,Smart,Sim,Ṇo
M-LEH2412003,,LEHOME NEGOCIOS IMOBILIARIOS LTDA,"2.868,32","0,00","10,00",Pausado,01/07/2023,8,,,sistema,Smart,Sim,Ṇo
M-LEH2412002,,LEHOME NEGOCIOS IMOBILIARIOS LTDA,"2.500,00","0,00","10,00",Pausado,23/08/2024,30,,,sistema,Smart,Sim,Ṇo
M-LEH2412113,,LEHOME NEGOCIOS IMOBILIARIOS LTDA,"3.027,60","100,00","10,00",Ativo,20/11/2024,30,,,sistema,Smart,Sim,Ṇo
M-LEH2412109,,LEHOME NEGOCIOS IMOBILIARIOS LTDA,"3.040,13","0,00","10,00",Ativo,21/12/2021,30,,,sistema,Smart,Sim,Ṇo
M-LEH2412106,,LEHOME NEGOCIOS IMOBILIARIOS LTDA,"6.000,00","0,00","8,00",Ativo,01/12/2023,30,,,sistema,Smart,Sim,Ṇo
M-LEH2412103,,LEHOME NEGOCIOS IMOBILIARIOS LTDA,"2.000,00","0,00","10,00",Ativo,14/10/2021,30,,,sistema,Smart,Sim,Ṇo
M-LEH2412102,,LEHOME NEGOCIOS IMOBILIARIOS LTDA,"3.532,20","60,00","10,00",Ativo,20/11/2024,30,,,sistema,Smart,Sim,Ṇo
M-LEH2412100,,LEHOME NEGOCIOS IMOBILIARIOS LTDA,"2.643,04","0,00","10,00",Ativo,16/11/2020,36,,,sistema,Smart,Sim,Ṇo
M-LEH2412098,,LEHOME NEGOCIOS IMOBILIARIOS LTDA,"2.628,24","0,00","10,00",Ativo,16/08/2021,12,,,sistema,Smart,Sim,Ṇo
M-LEH2412095,,LEHOME NEGOCIOS IMOBILIARIOS LTDA,"1.872,67","0,00","10,00",Ativo,09/11/2021,30,,,sistema,Smart,Sim,Ṇo
M-LEH2412093,,LEHOME NEGOCIOS IMOBILIARIOS LTDA,"1.800,00","0,00","8,98",Ativo,13/06/2022,30,,,sistema,Smart,Sim,Ṇo
M-LEH2412092,,LEHOME NEGOCIOS IMOBILIARIOS LTDA,"4.100,00","0,00","10,00",Ativo,15/04/2024,30,,,sistema,Smart,Sim,Ṇo
M-LEH2412091,,LEHOME NEGOCIOS IMOBILIARIOS LTDA,"1.828,34","0,00","10,00",Ativo,09/08/2021,30,,,sistema,Smart,Sim,Ṇo
M-LEH2412088,,LEHOME NEGOCIOS IMOBILIARIOS LTDA,"3.000,00","0,00","10,00",Ativo,10/01/2024,30,,,sistema,Smart,Sim,Ṇo
M-LEH2412086,,LEHOME NEGOCIOS IMOBILIARIOS LTDA,"3.500,00","0,00","10,00",Ativo,25/07/2024,30,,,sistema,Smart,Sim,Ṇo
M-LEH2412085,,LEHOME NEGOCIOS IMOBILIARIOS LTDA,"3.600,00","0,00","10,00",Ativo,13/09/2024,30,,,sistema,Smart,Sim,Ṇo
